,hidden_layer_size,num_features,momentum,score
0,100.0,1.0,0.0,0.05560975609756098
1,100.0,1.0,1.0,0.07170731707317073
2,100.0,2.0,0.0,0.060975609756097573
3,100.0,2.0,1.0,0.14097560975609755
4,100.0,3.0,0.0,0.07560975609756097
5,100.0,3.0,1.0,0.1721951219512195
6,100.0,4.0,0.0,0.10926829268292684
7,100.0,4.0,1.0,0.20975609756097563
8,100.0,5.0,0.0,0.14048780487804877
9,100.0,5.0,1.0,0.22439024390243906
10,100.0,6.0,0.0,0.11756097560975612
11,100.0,6.0,1.0,0.2570731707317074
12,100.0,7.0,0.0,0.13268292682926827
13,100.0,7.0,1.0,0.2507317073170732
14,100.0,8.0,0.0,0.12780487804878052
15,100.0,8.0,1.0,0.2765853658536585
16,100.0,9.0,0.0,0.14682926829268295
17,100.0,9.0,1.0,0.29902439024390237
18,100.0,10.0,0.0,0.1473170731707317
19,100.0,10.0,1.0,0.3239024390243902
20,100.0,11.0,0.0,0.12731707317073174
21,100.0,11.0,1.0,0.32780487804878045
22,100.0,12.0,0.0,0.15414634146341463
23,100.0,12.0,1.0,0.3190243902439024
24,100.0,13.0,0.0,0.1575609756097561
25,100.0,13.0,1.0,0.3234146341463414
26,100.0,14.0,0.0,0.1521951219512195
27,100.0,14.0,1.0,0.3312195121951219
28,100.0,15.0,0.0,0.1517073170731707
29,100.0,15.0,1.0,0.33024390243902435
30,100.0,16.0,0.0,0.15756097560975607
31,100.0,16.0,1.0,0.31951219512195117
32,100.0,17.0,0.0,0.16390243902439022
33,100.0,17.0,1.0,0.32780487804878045
34,100.0,18.0,0.0,0.14292682926829267
35,100.0,18.0,1.0,0.3346341463414634
36,100.0,19.0,0.0,0.16048780487804876
37,100.0,19.0,1.0,0.3419512195121951
38,100.0,20.0,0.0,0.144390243902439
39,100.0,20.0,1.0,0.3424390243902439
40,200.0,1.0,0.0,0.04731707317073171
41,200.0,1.0,1.0,0.06731707317073171
42,200.0,2.0,0.0,0.06878048780487804
43,200.0,2.0,1.0,0.1351219512195122
44,200.0,3.0,0.0,0.12487804878048783
45,200.0,3.0,1.0,0.19268292682926827
46,200.0,4.0,0.0,0.13268292682926827
47,200.0,4.0,1.0,0.22878048780487809
48,200.0,5.0,0.0,0.1395121951219512
49,200.0,5.0,1.0,0.2409756097560976
50,200.0,6.0,0.0,0.16341463414634144
51,200.0,6.0,1.0,0.25756097560975605
52,200.0,7.0,0.0,0.17853658536585365
53,200.0,7.0,1.0,0.23658536585365858
54,200.0,8.0,0.0,0.17902439024390243
55,200.0,8.0,1.0,0.2970731707317073
56,200.0,9.0,0.0,0.18
57,200.0,9.0,1.0,0.31073170731707317
58,200.0,10.0,0.0,0.17658536585365853
59,200.0,10.0,1.0,0.3234146341463414
60,200.0,11.0,0.0,0.17951219512195118
61,200.0,11.0,1.0,0.32243902439024386
62,200.0,12.0,0.0,0.1775609756097561
63,200.0,12.0,1.0,0.32536585365853654
64,200.0,13.0,0.0,0.19463414634146342
65,200.0,13.0,1.0,0.328780487804878
66,200.0,14.0,0.0,0.19121951219512195
67,200.0,14.0,1.0,0.3321951219512195
68,200.0,15.0,0.0,0.18048780487804877
69,200.0,15.0,1.0,0.3419512195121951
70,200.0,16.0,0.0,0.21658536585365856
71,200.0,16.0,1.0,0.34048780487804875
72,200.0,17.0,0.0,0.20487804878048782
73,200.0,17.0,1.0,0.33317073170731704
74,200.0,18.0,0.0,0.1975609756097561
75,200.0,18.0,1.0,0.3336585365853658
76,200.0,19.0,0.0,0.17999999999999997
77,200.0,19.0,1.0,0.33804878048780485
78,200.0,20.0,0.0,0.18536585365853658
79,200.0,20.0,1.0,0.3468292682926829
80,300.0,1.0,0.0,0.05902439024390245
81,300.0,1.0,1.0,0.06829268292682927
82,300.0,2.0,0.0,0.07560975609756097
83,300.0,2.0,1.0,0.13512195121951218
84,300.0,3.0,0.0,0.11609756097560975
85,300.0,3.0,1.0,0.1721951219512195
86,300.0,4.0,0.0,0.14195121951219508
87,300.0,4.0,1.0,0.208780487804878
88,300.0,5.0,0.0,0.1517073170731707
89,300.0,5.0,1.0,0.24195121951219517
90,300.0,6.0,0.0,0.1775609756097561
91,300.0,6.0,1.0,0.2643902439024391
92,300.0,7.0,0.0,0.19317073170731705
93,300.0,7.0,1.0,0.24975609756097567
94,300.0,8.0,0.0,0.19365853658536583
95,300.0,8.0,1.0,0.29024390243902437
96,300.0,9.0,0.0,0.19024390243902436
97,300.0,9.0,1.0,0.3141463414634146
98,300.0,10.0,0.0,0.20682926829268294
99,300.0,10.0,1.0,0.3263414634146341
100,300.0,11.0,0.0,0.20487804878048782
101,300.0,11.0,1.0,0.3312195121951219
102,300.0,12.0,0.0,0.20731707317073172
103,300.0,12.0,1.0,0.3385365853658536
104,300.0,13.0,0.0,0.19658536585365852
105,300.0,13.0,1.0,0.32780487804878045
106,300.0,14.0,0.0,0.21121951219512197
107,300.0,14.0,1.0,0.32731707317073166
108,300.0,15.0,0.0,0.21512195121951222
109,300.0,15.0,1.0,0.3336585365853658
110,300.0,16.0,0.0,0.21853658536585369
111,300.0,16.0,1.0,0.3321951219512195
112,300.0,17.0,0.0,0.2180487804878049
113,300.0,17.0,1.0,0.33268292682926826
114,300.0,18.0,0.0,0.21170731707317075
115,300.0,18.0,1.0,0.3346341463414634
116,300.0,19.0,0.0,0.2190243902439024
117,300.0,19.0,1.0,0.3507317073170731
118,300.0,20.0,0.0,0.20390243902439026
119,300.0,20.0,1.0,0.3492682926829268
